"b_Intercept","b_hu_Intercept","b_Fishable","b_M_RG","b_M_RS","b_M_Gag","b_sin1","b_cos1","b_sin2","b_cos2","b_A_GS","sigma","lp__"
4.36843246736464,-9.33823337151202,6.46505065295802,-0.21156162758409,-0.198259842580404,-0.0503992648742151,-0.256172022939009,-0.315253787023381,0.190742666736547,-0.00503791796507795,0.752361789790307,0.417546893355666,-2815.84141356782
4.31176195926742,-6.65427015681549,6.34919048159721,-0.0342192390023013,-0.0882932173261981,0.0561732057467977,-0.133395208735429,-0.217365010444985,0.236656125399355,0.123799253933488,0.707940898323475,0.476593464849177,-2815.96446918876
0.333828386890474,-10.2986678909962,10.3139479851124,-0.102087770325509,-0.197695729720811,-0.0301742772782013,-0.246545631301504,-0.208765869434527,0.261047458375788,-0.0298615711451251,0.875763457011575,0.444504593050924,-2818.57221491966
3.47618508677572,-8.20071081980744,6.89694645224906,0.216459157745535,-0.000420254404536566,-0.0994113399283445,-0.239371130981253,-0.222013548746188,0.176894427178913,0.0951111262726457,0.851473967192575,0.459146117173775,-2820.58813433839
4.79918466902781,-8.99198205627118,6.51376564479099,-0.384021742112305,-0.248219103896898,-0.221639460600574,-0.342190855531971,-0.273185841331622,0.267947791762846,-0.0265649739464652,0.545325532995725,0.479794598770859,-2821.92716254321
3.83124866347278,-9.17054529694776,7.39411999008981,-0.292521541013611,-0.204557116676333,-0.214762255302657,-0.345873132402716,-0.366795085828856,0.284319740290065,-0.00117259660257141,0.556604900102845,0.470463093267395,-2820.01005067788
5.23348275344114,-8.60742309539859,5.71756608182364,-0.129946083171725,-0.12675187057358,-0.154259588149283,-0.330660504489465,-0.171486185840215,0.208493305533351,0.103516209191273,0.62153455128798,0.457047850924752,-2816.93781450806
4.72283837125115,-7.45403105682561,6.07234047373734,-0.16522695131117,-0.306174842550754,-0.0226001420348668,-0.23107157427117,-0.327174007642966,0.270565638980725,0.000381505131030236,0.761116544739254,0.467156055551793,-2813.79029121728
4.33977372188871,-8.07432843108733,6.51698260331433,-0.120230093062236,-0.234655831707663,0.0719461932685862,-0.161365027682777,-0.30508452403328,0.275224913030337,0.122593940818148,0.586412570095584,0.478829094100232,-2815.5741614253
5.68645356280077,-8.20496471377479,5.13204823650686,-0.138687170659915,-0.206113620891839,-0.0000528948791105946,-0.218068067694712,-0.300478662514424,0.267195154177097,0.0908487938878612,0.6683716261385,0.432819527937159,-2813.04225798973
6.65015581216135,-8.16228055537904,4.28870022851276,-0.197098498806973,-0.120601014677904,-0.107212791588855,-0.293105912338657,-0.373338723278985,0.16544691868056,0.00983628658730463,0.640401922666603,0.507247285793809,-2818.58057753255
6.63257527537386,-10.2776530963057,4.07420588715715,-0.0287963318077637,-0.134965166408588,-0.0974730186578438,-0.22878397538605,-0.241680939087344,0.298633606603184,0.0513570657282802,0.699570158287375,0.454583535043806,-2814.98185230205
4.85660208749385,-6.836355513479,5.8679827514852,-0.214878008306598,-0.144251006900907,-0.0816532455843353,-0.243918886726634,-0.377849555801489,0.24017324565768,0.00468619459500268,0.869067787504934,0.454226095743339,-2816.17747318418
5.66762511715477,-16.3334524910156,4.9973467561963,-0.036699424043046,-0.0685485348626581,-0.111735001450101,-0.237432460677386,-0.188030966441301,0.241811476490494,0.0512816164973169,0.76808459958844,0.46771892150974,-2814.99529610954
3.64906071519103,-12.1841089606914,7.21496310467846,-0.100169547509882,-0.12624138938841,-0.0176563615303279,-0.178344582349757,-0.266381458209653,0.249808260559714,0.0441264203066529,0.609456316678016,0.474747409969669,-2813.18853597253
3.43560957347071,-8.05484248083699,7.39766833948065,-0.0872556348924644,-0.12228543655745,0.0286210247644127,-0.190781378924769,-0.225597136133852,0.231317993734433,0.0667122815007609,0.615789237612425,0.48271041867354,-2813.24431927876
3.99123174447494,-8.87538858838957,6.63643716335568,-0.0201939620002705,-0.235100420414815,-0.102192859606196,-0.272886366762752,-0.245243590857951,0.214459830398529,0.110245584185572,0.825029361090352,0.48016891508576,-2814.39865242375
3.12490358439801,-7.6613428327949,7.75095095902184,-0.146185377029465,-0.0269484397943662,0.0533058645010783,-0.168398520629815,-0.1571658176936,0.253919675625378,-0.0420134643929162,0.610303336024072,0.456065295263389,-2816.21771246754
4.02373276323046,-8.59328516765937,6.66858014399135,-0.0213801597498886,-0.105113682571802,-0.299279495340585,-0.38504139337863,-0.275002729888617,0.191811661826089,0.114869346518506,0.857771238573462,0.47237910138689,-2819.57018027228
3.84129950111974,-11.9474865510197,6.87035745416055,-0.0662389099369239,-0.0747430962391086,-0.216576851500322,-0.210875308753635,-0.268442613623923,0.125738710290181,0.125903543572586,0.856703675131837,0.472142929169766,-2821.1177038589
3.91615803375496,-6.04139491707901,6.95035220443619,-0.0684135455430247,-0.224863616547912,-0.0593367584751779,-0.374607230316604,-0.248726049765105,0.36780795676349,0.00492754823023462,0.623468586108545,0.464530579966216,-2821.41836241864
3.91615803375496,-6.04139491707901,6.95035220443619,-0.0684135455430247,-0.224863616547912,-0.0593367584751779,-0.374607230316604,-0.248726049765105,0.36780795676349,0.00492754823023462,0.623468586108545,0.464530579966216,-2821.41836241864
4.35279836410305,-11.4034593211127,6.25002930299222,-0.0858491529001395,-0.249432550386626,-0.162566889434502,-0.227949269464446,-0.326003580731376,0.274856344661353,0.062239435792423,0.954119612988719,0.491566138236715,-2818.40169883029
5.52767267001795,-11.8825245171982,5.02249521023683,-0.0321934917475201,-0.215857282443996,-0.139416684814739,-0.319957495350414,-0.26343237097545,0.274853943574511,0.105680501334198,0.923002097245623,0.461546166036071,-2817.54554408471
