"b_Intercept","b_hu_Intercept","b_Fishable","b_M_Gag","b_logS_Gag","b_M_RG","b_M_RS","b_sin1","b_cos1","b_sin2","b_cos2","b_A_Gag","b_hu_M_Gag","sigma","lp__"
4.82048279857386,-1.51017249649487,4.49088153326413,2.68394065407117,-0.28289644483297,-0.24812081272422,-0.550722188090213,0.315413460431442,-0.165007562271217,-0.162025698053133,0.340556036397514,0.246447495888895,-5.67185324367422,0.821179066645316,-2642.98003571674
1.12102808294298,-1.36461866219128,7.8996700358305,2.53774062980172,-0.0892189941307693,0.145574261169112,-0.549936044452564,0.166149461543421,0.0155488211504754,-0.258184011243819,0.294422895709035,0.182123090942079,-5.61208468171473,0.917620850223783,-2645.02814193567
-1.20970282849423,-1.67498049017178,10.2439029897126,2.2565237856921,-0.015187866385874,0.307639054751779,-0.310883605756671,0.324372743691398,-0.137926042571409,-0.360644965180808,0.338086464902445,0.228162253063821,-8.28946191288805,0.943506413904797,-2650.7534078294
5.38168834675097,-1.30242776449325,3.92029166963371,2.63630921634335,-0.311371412116721,-0.245676300876623,-0.669131568097391,0.250154226138499,-0.239714910484344,-0.104886236242877,0.337248546406765,0.240167683429536,-8.98826808903438,0.797806018001775,-2646.55282171887
-0.0264246664134955,-1.88980524549447,9.37132057066855,2.42925603625146,-0.0916424664520297,-0.214836999878736,-0.476607422629242,0.251819569443726,-0.232489375767516,-0.0638676129839598,0.274749597015562,0.251612942742532,-4.08543606672104,0.880847603826069,-2644.51269001807
5.55898676396098,-1.1113546144678,3.5894234739593,2.33746682049414,-0.0592802936420412,-0.0564558186619071,-0.753194533144561,0.0404792960216682,-0.312898055971492,-0.351450442405153,0.596381800375793,0.299480327765563,-6.38018029896298,0.836107908067315,-2647.5092077349
0.465881190971423,-1.87817904766596,8.83796771344876,2.4652145086363,-0.183919944762944,-0.0650567466971967,-0.602982742485922,0.318076108422181,-0.225688941597187,-0.0925974502659382,0.387413599115432,0.209790706303556,-2.63881200189563,0.981923674598453,-2647.5645203697
6.29575012816025,-1.14518130183286,2.80558796372528,2.49222695189683,-0.30902427957345,0.042284852482754,-0.29234114637947,0.292125586027815,-0.063631667391101,-0.297411721466539,0.314046287258776,0.275573334410608,-6.25390831486792,0.833779353884133,-2646.15104936063
4.51354299064718,-1.14661897353721,4.73884023993356,2.38282210352907,-0.201866006979226,-0.114815881234097,-0.200294689560303,0.279482093301542,-0.127540885849832,-0.238928222288551,0.380905602200282,0.237800612209621,-5.61970755150331,0.824967628796955,-2644.01159736059
3.21822937008984,-1.06659626685436,6.15525334591704,2.59426405642231,-0.193212932200984,-0.305528144373383,-0.37753711669686,0.30114122203029,-0.262092233611285,-0.223065663783549,0.355126247388369,0.188309007931906,-5.97782379841259,0.821089159441045,-2643.63664354249
